0.636363636, 0.545454545, , 0.772727273, 1.136363636, , , 
0.4, 0.32, 0.48, 0.56, 0.72, 0.88, 1, 1.04
0.6, 0.44, , 0.68, , 0.88, 0.98, 1.012
0.529411765, 0.529411765, 0.647058824, 0.764705882, 0.823529412, 1, 1.117647059, 
0.619047619, 0.761904762, 0.952380952, 0.857142857, 1.142857143, 1.238095238, 1.238095238, 1.142857143
0.592592593, 0.592592593, 0.703703704, 0.740740741, 0.888888889, 1.037037037, 1.111111111, 1.037037037
0.45, 0.55, 0.65, 0.8, 0.75, 1, 1.2, 1.1
1, 0.6, 0.6, 0.666666667, 0.666666667, 0.866666667, 1.066666667, 1.066666667
0.466666667, 0.4, 0.533333333, 0.533333333, 0.733333333, 1.066666667, 1.2, 1.066666667
0.277777778, 0.277777778, 0.444444444, 0.444444444, 0.833333333, 1.166666667, 1.111111111, 1.055555556
0.615384615, 0.307692308, 0.423076923, 0.538461538, 0.576923077, 0.692307692, 1.038461538, 1.038461538
0.5, 0.233333333, , 0.433333333, , 0.8, 1.033333333, 0.966666667
0.535714286, 0.464285714, 0.535714286, 0.678571429, 0.785714286, 1, , 1.142857143
0.909090909, 0.636363636, 0.772727273, 0.727272727, 0.863636364, 0.909090909, , 
0.277777778, 0.333333333, 0.388888889, 0.666666667, 0.722222222, 1, 1.277777778, 1.222222222
0.53125, 0.46875, 0.5, 0.5625, 0.625, 0.71875, 0.96875, 0.9375
0.533333333, 0.533333333, 0.6, 0.733333333, 0.866666667, 1, 1.266666667, 1.2


1.153846154, 0.615384615, 0.615384615, 0.692307692, 0.538461538, 0.692307692, 0.769230769, 0.846153846
1.2, 0.9, 0.9, 0.9, 0.7, 0.9, 1, 1
0.7, 0.6, 0.7, 0.65, 0.8, 0.8, 0.8, 0.8
0.7, 0.6, 0.6, 0.65, 0.65, 0.9, 1, 1.05
0.272727273, 0.363636364, 0.454545455, 0.454545455, 0.363636364, 0.545454545, 0.909090909, 1
0.357142857, 0.428571429, 0.571428571, 0.571428571, 0.357142857, 0.642857143, 1, 0.928571429
1.25, 0.875, 1, 0.875, 1, 1, 1, 1
0.833333333, 0.916666667, 0.833333333, 0.916666667, , 0.916666667, 1, 1
, , 0.578947368, 0.631578947, 0.842105263, 0.894736842, , 
0.75, 0.416666667, , 0.625, , 0.791666667, 0.958333333, 1
0.714285714, 0.642857143, 0.714285714, 0.714285714, 0.642857143, 0.857142857, 0.928571429, 1
0.773570874, 0.614242008, 0.676114967, 0.684071866, 0.668619021, 0.822488274, 0.978920385, 0.994989732
0.089436952, 0.055402234, 0.046352754, 0.038531948, 0.058291422, 0.035674795, 0.036523415, 0.030377059
